dateTime,u,v,ws,wd,wp
2009070101,3.32,-1.93,3.84,120.2,0.249
2009070102,2.88,-1.78,3.39,121.76,0.175
2009070103,2.46,-1.71,2.99,124.85,0.085
2009070104,2.07,-1.68,2.67,129.09,0.032
2009070105,1.77,-1.65,2.42,132.96,0.011
2009070106,1.61,-1.55,2.24,134.05,0
2009070107,1.6,-1.37,2.11,130.46,0.011
2009070108,1.71,-1.19,2.08,124.72,0.016
2009070109,1.84,-1.12,2.16,121.38,0
2009070110,1.94,-1.27,2.32,123.11,0.005
2009070111,2.01,-1.53,2.53,127.29,0.021
2009070112,2.07,-1.8,2.74,131,0.021
2009070113,2.13,-1.96,2.9,132.73,0.026
2009070114,2.24,-2.07,3.05,132.76,0.021
2009070115,2.45,-2.17,3.27,131.58,0.016
2009070116,2.77,-2.31,3.61,129.84,0.021
2009070117,3.13,-2.49,4.0,128.47,0.016
2009070118,3.4,-2.66,4.32,128.08,0.032
2009070119,3.5,-2.81,4.49,128.8,0.037
2009070120,3.48,-2.9,4.53,129.8,0.048
2009070121,3.44,-2.89,4.49,130.08,0.058
2009070122,3.41,-2.75,4.38,128.88,0.09
2009070123,3.33,-2.47,4.14,126.57,0.127
2009070200,3.08,-2.05,3.7,123.63,0.164
2009070201,2.61,-1.51,3.01,120.13,0.138
2009070202,2.07,-0.99,2.29,115.5,0.116
2009070203,1.66,-0.61,1.77,110.27,0.079
2009070204,1.55,-0.5,1.63,107.87,0.074
2009070205,1.62,-0.54,1.71,108.34,0.063
2009070206,1.72,-0.58,1.82,108.52,0.074
2009070207,1.73,-0.51,1.8,106.38,0.058
2009070208,1.63,-0.38,1.67,103.14,0.053
2009070209,1.47,-0.29,1.49,101.18,0.058
2009070210,1.27,-0.3,1.31,103.23,0.053
2009070211,1.12,-0.35,1.17,107.58,0.101
2009070212,1.07,-0.37,1.13,109.04,0.074
2009070213,1.18,-0.3,1.22,104.02,0.058
2009070214,1.49,-0.25,1.51,99.44,0.085
2009070215,1.98,-0.37,2.02,100.6,0.085
2009070216,2.65,-0.77,2.76,106.2,0.116
2009070217,3.39,-1.37,3.66,111.99,0.143
2009070218,4.07,-2.04,4.55,116.67,0.175
2009070219,4.57,-2.68,5.3,120.37,0.175
2009070220,4.89,-3.21,5.85,123.29,0.201
2009070221,5.04,-3.59,6.19,125.43,0.222
2009070222,5.02,-3.76,6.27,126.81,0.291
